Year,wales_subregion,wales_counties,Number of Projects ,Electrical Capacity (MWe) ,Heat Capacity (MWth) ,Electrical Generation (MWhe) ,Heat Generation (MWhth) 
2019,South East Wales,Vale of Glamorgan ,2407,94.43238,11.451277,136952.3625,32147.34976
2019,South East Wales,Cardiff ,3663,53.4009,13.123103,210555.1092,54204.60393
2019,South East Wales,Rhondda Cynon Taf ,3955.5,239.10526,18.93477,493783.2436,54407.80262
2019,South East Wales,Merthyr Tydfil ,769,16.74054,5.409228,41532.37503,19649.09632
2019,South East Wales,Caerphilly ,2963,68.10854,8.673241,96169.76001,25518.1121
2019,South East Wales,Blaenau Gwent ,982,18.57954,9.657809,41815.4428,27938.70067
2019,South East Wales,Torfaen ,2022,11.28733,4.114944,12187.90545,13009.99498
2019,South East Wales,Monmouthshire ,4429,63.87822,34.346145,143996.3634,118162.8859
2019,South East Wales,Newport ,2284,50.42554,11.512785,114385.1501,34491.02582
2019,Offshore ,offshore,3,726,0,2200476.96,0
2019,Unknown (1),Unknown,2,0.076,0.045,410.864149,248.346
2020,North Wales ,Isle of Anglesey ,2871,79.85473,10.854234,142421.6349,23516.6604
2020,North Wales,Gwynedd ,3636,103.59895,24.202744,176997.9381,63761.36514
2020,North Wales,Conwy ,2241.5,94.20867,13.602801,191391.1275,36631.00426
2020,North Wales,Denbighshire ,2574.5,161.64718,23.648673,384205.163,68265.93015
2020,North Wales,Flintshire ,4337,131.57313,110.605664,285174.8178,551594.9106
2020,North Wales,Wrexham ,5007,47.09279,39.98776,59077.14406,123702.6691
2020,Mid & South West Wales ,Powys ,7384,254.12114,154.397399,588976.0572,457031.0944
2020,Mid & South West Wales,Ceredigion ,4461,191.93062,75.614798,391410.257,258766.3885
2020,Mid & South West Wales,Pembrokeshire ,5991,220.47123,37.552433,251229.2127,100243.5008
2020,Mid & South West Wales,Carmarthenshire ,6439,263.60629,57.375989,474160.7563,158286.9632
2020,Mid & South West Wales,Swansea ,3348,89.69868,11.819185,140827.4462,32631.88973
2020,Mid & South West Wales,Neath Port Talbot ,2028.5,332.08441,23.283863,905260.5965,79662.77247
2020,South East Wales ,Bridgend ,2743,100.68613,9.789657,207191.951,26725.10344
2020,South East Wales,Vale of Glamorgan ,2572,94.85496,11.930947,136643.6978,32764.40993
2020,South East Wales,Cardiff ,3798,46.71862,15.805103,140783.3425,69746.8279
2020,South East Wales,Rhondda Cynon Taf ,4644.5,240.39715,19.58777,517728.1379,55046.08277
2020,South East Wales,Merthyr Tydfil ,858,16.92264,5.753228,35826.22435,20540.32797
2020,South East Wales,Caerphilly ,2999,68.32719,8.677241,98730.03687,25214.46384
2020,South East Wales,Blaenau Gwent ,1229,22.07991,9.667809,47558.34488,27853.26838
2020,South East Wales,Torfaen ,2066,14.73111,4.126944,15532.76628,12853.56332
2020,South East Wales,Monmouthshire ,4661,64.20072,35.479365,139917.4874,117221.9728
2020,South East Wales,Newport ,2364,52.00341,12.132785,115428.1676,36014.2357
2020,Offshore ,offshore,3,726,0,2225916,0
2020,Unknown (1),Unknown,28,0.23408,0.045,644.784884,248.346
2021,North Wales ,Isle of Anglesey ,3429,81.44006,12.266934,144223.1809,25618.2709
2021,North Wales,Gwynedd ,3955,110.56224,26.076354,184070.6838,66595.43536
2021,North Wales,Conwy ,2741.5,94.67881,14.711751,190000.8804,39050.0529
2021,North Wales,Denbighshire ,3072.5,162.83932,24.842253,385335.2967,70131.40529
2021,North Wales,Flintshire ,4730,132.90892,112.048644,281142.2575,552756.3983
2021,North Wales,Wrexham ,5174,46.39241,40.4897,56308.18371,125293.0149
2021,Mid & South West Wales ,Powys ,7913,241.25786,156.594029,556638.5673,462138.5985
2021,Mid & South West Wales,Ceredigion ,4892,177.2809,78.148558,363424.1772,262830.6063
2021,Mid & South West Wales,Pembrokeshire ,6452,227.56904,39.337383,257957.8473,103210.4096
2021,Mid & South West Wales,Carmarthenshire ,6945,263.75258,60.487379,472463.5035,165013.6961
2021,Mid & South West Wales,Swansea ,3552,103.659,13.077885,154067.6536,35325.57432
2021,Mid & South West Wales,Neath Port Talbot ,2135.5,330.40913,23.492563,899947.5016,79968.77184
2021,South East Wales ,Bridgend ,2804,91.98307,10.017657,185764.8038,27076.48156
2021,South East Wales,Vale of Glamorgan ,2741,98.45645,15.976547,148533.3364,54386.82498
2021,South East Wales,Cardiff ,3963,44.328,12.843073,130041.5934,49987.60951
2021,South East Wales,Rhondda Cynon Taf ,4990.5,252.85457,22.18777,546378.7485,61690.75092
2021,South East Wales,Merthyr Tydfil ,936,17.39202,5.805428,36271.19069,20610.66085
2021,South East Wales,Caerphilly ,3228,68.81385,9.807541,99191.38443,27845.59633
2021,South East Wales,Blaenau Gwent ,1269,23.63642,9.784809,50254.60495,28032.17917
2021,South East Wales,Torfaen ,2218,15.40968,4.326944,16176.04211,13445.54976
2021,South East Wales,Monmouthshire ,4887,68.43666,36.609155,149063.1815,118873.3472
2021,South East Wales,Newport ,2419,127.25153,12.784585,186762.4391,37765.63492
2021,Offshore ,offshore,3,726,0,2225916,0
2021,Unknown (1),Unknown,28,0.23408,0.045,644.784884,248.346
2022,North Wales ,Isle of Anglesey ,4206,83.50494,14.947962,148655.4109,30053.54317
2022,North Wales,Gwynedd ,4788,112.51425,29.963294,191071.1187,73027.9721
2022,North Wales,Conwy ,3201.5,95.82522,16.501031,195443.3205,41973.18338
2022,North Wales,Denbighshire ,3682.5,164.24005,27.710233,398928.2995,74897.29288
2022,North Wales,Flintshire ,4714,134.66731,111.707024,284323.1276,552314.7102
2022,North Wales,Wrexham ,5381,47.44877,40.62159,56036.81022,125627.5463
2022,Mid & South West Wales ,Powys ,9284,242.97126,168.888263,570193.2344,485821.9674
2022,Mid & South West Wales,Ceredigion ,5586,181.49891,80.951538,375503.7072,267676.0842
2022,Mid & South West Wales,Pembrokeshire ,7258,229.59038,44.136383,258066.2852,111881.4894
2022,Mid & South West Wales,Carmarthenshire ,8104,266.69982,65.974019,484618.7603,174934.3702
2022,Mid & South West Wales,Swansea ,4149,115.05931,13.196815,164686.7658,35568.6129
2022,Mid & South West Wales,Neath Port Talbot ,2449.5,331.30384,32.648973,923336.9366,106920.424
2022,South East Wales ,Bridgend ,3003,92.79603,10.139827,190807.63,27279.72374
2022,South East Wales,Vale of Glamorgan ,2881,99.42981,19.396297,149060.6377,65773.09286
2022,South East Wales,Cardiff ,4456,46.30142,13.662603,132858.0944,51361.43156
2022,South East Wales,Rhondda Cynon Taf ,5496.5,254.04855,24.98721,562655.499,68025.69386
2022,South East Wales,Merthyr Tydfil ,1013,17.83411,5.859828,35700.86043,20732.69681
2022,South East Wales,Caerphilly ,3643,69.82952,10.884571,100759.7987,29636.10943
2022,South East Wales,Blaenau Gwent ,1347,23.9038,10.612509,51002.43721,30530.44027
2022,South East Wales,Torfaen ,2427,16.42903,4.037894,16884.83024,12973.1155
2022,South East Wales,Monmouthshire ,5299,70.18412,37.832655,151861.676,120875.6825
2022,South East Wales,Newport ,2647,128.27481,13.467765,187797.5413,38883.11455
2022,Offshore ,offshore,3,726,0,2221547.835,0
2022,Unknown (1),Unknown,28,0.233,0.045,664.013158,248.346
