Wales Regions,Counties,Number of Projects ,Electrical Capacity (MWe) ,Heat Capacity (MWth) ,Electrical Generation (MWhe) ,Heat Generation (MWhth) ,Technology,Year
South East Wales,Newport ,2208.0,25.34841,0.0,24029.973915,0.0,Solar PV,2020
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Solar PV,2020
Unknown (1),Unknown,23.0,0.10108,0.0,95.822569,0.0,Solar PV,2020
North Wales ,Isle of Anglesey ,187.0,0.0,0.484151,0.0,296.881493,Solar Thermal,2020
North Wales,Gwynedd ,170.0,0.0,0.554982,0.0,340.315058,Solar Thermal,2020
North Wales,Conwy ,252.0,0.0,0.941714,0.0,577.459025,Solar Thermal,2020
North Wales,Denbighshire ,142.0,0.0,0.38876,0.0,238.387632,Solar Thermal,2020
North Wales,Flintshire ,86.0,0.0,0.221224,0.0,135.654557,Solar Thermal,2020
North Wales,Wrexham ,113.0,0.0,0.35027,0.0,214.785564,Solar Thermal,2020
Mid & South West Wales,Powys ,680.0,0.0,1.969705,0.0,1207.823106,Solar Thermal,2020
Mid & South West Wales,Ceredigion ,351.0,0.0,0.989783,0.0,606.934936,Solar Thermal,2020
Mid & South West Wales,Pembrokeshire ,556.0,0.0,1.717851,0.0,1053.386233,Solar Thermal,2020
Mid & South West Wales,Carmarthenshire ,303.0,0.0,0.94742,0.0,580.957944,Solar Thermal,2020
Mid & South West Wales,Swansea ,162.0,0.0,0.494426,0.0,303.182023,Solar Thermal,2020
Mid & South West Wales,Neath Port Talbot ,39.0,0.0,0.113436,0.0,69.558991,Solar Thermal,2020
South East Wales ,Bridgend ,101.0,0.0,0.47014,0.0,288.289848,Solar Thermal,2020
South East Wales,Vale of Glamorgan ,87.0,0.0,0.131094,0.0,80.386841,Solar Thermal,2020
South East Wales,Cardiff ,93.0,0.0,0.385469,0.0,236.369591,Solar Thermal,2020
South East Wales,Rhondda Cynon Taf ,545.0,0.0,1.568333,0.0,961.701796,Solar Thermal,2020
South East Wales,Merthyr Tydfil ,67.0,0.0,0.039912,0.0,24.474038,Solar Thermal,2020
South East Wales,Caerphilly ,345.0,0.0,0.663632,0.0,406.939142,Solar Thermal,2020
South East Wales,Blaenau Gwent ,290.0,0.0,0.500424,0.0,306.859997,Solar Thermal,2020
South East Wales,Torfaen ,18.0,0.0,0.051231,0.0,31.414849,Solar Thermal,2020
South East Wales,Monmouthshire ,115.0,0.0,0.322387,0.0,197.687708,Solar Thermal,2020
South East Wales,Newport ,34.0,0.0,0.14544,0.0,89.183808,Solar Thermal,2020
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Solar Thermal,2020
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Solar Thermal,2020
North Wales ,Isle of Anglesey ,2.0,1.9,0.19,9919.4374,1165.08,Anaerobic Digestion,2021
North Wales,Gwynedd ,2.0,0.49,0.178,2558.170698,1091.496,Anaerobic Digestion,2021
North Wales,Conwy ,3.0,0.0,0.405,0.0,2483.46,Anaerobic Digestion,2021
North Wales,Denbighshire ,3.0,1.332,1.271,6954.047693,7793.772,Anaerobic Digestion,2021
North Wales,Flintshire ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2021
North Wales,Wrexham ,6.0,0.415,0.856,2166.613958,5248.992,Anaerobic Digestion,2021
Mid & South West Wales,Powys ,13.0,4.093,2.338,21368.556462,14336.616,Anaerobic Digestion,2021
Mid & South West Wales,Ceredigion ,4.0,1.325,1.297,6917.502397,7953.204,Anaerobic Digestion,2021
Mid & South West Wales,Pembrokeshire ,2.0,0.003,0.091,15.66227,558.012,Anaerobic Digestion,2021
Mid & South West Wales,Carmarthenshire ,2.0,0.516,0.199,2693.910368,1220.268,Anaerobic Digestion,2021
Mid & South West Wales,Swansea ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2021
Mid & South West Wales,Neath Port Talbot ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2021
South East Wales ,Bridgend ,1.0,2.8,0.0,14618.118274,0.0,Anaerobic Digestion,2021
South East Wales,Vale of Glamorgan ,1.0,0.5,0.0,2610.378263,0.0,Anaerobic Digestion,2021
South East Wales,Cardiff ,1.0,1.8,0.0,9397.361747,0.0,Anaerobic Digestion,2021
South East Wales,Rhondda Cynon Taf ,1.0,1.189,0.704,6207.47951,4316.928,Anaerobic Digestion,2021
South East Wales,Merthyr Tydfil ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2021
South East Wales,Caerphilly ,2.0,1.899,0.522,9914.216643,3200.904,Anaerobic Digestion,2021
South East Wales,Blaenau Gwent ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2021
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2021
South East Wales,Monmouthshire ,2.0,0.36,0.084,1879.472349,515.088,Anaerobic Digestion,2021
South East Wales,Newport ,2.0,0.484,0.095,2526.846159,582.54,Anaerobic Digestion,2021
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2021
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Anaerobic Digestion,2021
North Wales ,Isle of Anglesey ,60.0,0.0,3.319691,0.0,10178.171831,Biomass,2021
North Wales,Gwynedd ,222.0,0.0,16.593242,0.0,50874.88049,Biomass,2021
North Wales,Conwy ,122.0,0.0,9.048217,0.0,27741.83332,Biomass,2021
North Wales,Denbighshire ,174.0,0.0,15.860863,0.0,48629.404525,Biomass,2021
North Wales,Flintshire ,142.0,0.0,14.14524,0.0,43369.30584,Biomass,2021
North Wales,Wrexham ,89.0,0.0,33.8416,0.0,103758.3456,Biomass,2021
Mid & South West Wales,Powys ,981.0,0.0,133.011048,0.0,407811.872252,Biomass,2021
Mid & South West Wales,Ceredigion ,268.0,0.0,43.672345,0.0,133899.41074,Biomass,2021
Mid & South West Wales,Pembrokeshire ,297.0,0.0,27.755212,0.0,85097.479036,Biomass,2021
Mid & South West Wales,Carmarthenshire ,530.0,0.0,46.277239,0.0,141886.01432,Biomass,2021
Mid & South West Wales,Swansea ,59.0,0.0,7.583049,0.0,23249.628462,Biomass,2021
Mid & South West Wales,Neath Port Talbot ,90.0,0.0,18.720777,0.0,57397.903193,Biomass,2021
South East Wales ,Bridgend ,36.0,0.0,7.811467,0.0,23949.959304,Biomass,2021
South East Wales,Vale of Glamorgan ,65.0,0.0,9.477323,0.0,29057.471929,Biomass,2021
South East Wales,Cardiff ,21.0,0.0,4.935984,0.0,15133.726455,Biomass,2021
South East Wales,Rhondda Cynon Taf ,64.0,0.0,16.667207,0.0,51101.65677,Biomass,2021
South East Wales,Merthyr Tydfil ,15.0,0.0,3.727416,0.0,11428.258203,Biomass,2021
South East Wales,Caerphilly ,50.0,0.0,7.087449,0.0,21730.117804,Biomass,2021
South East Wales,Blaenau Gwent ,14.0,0.0,8.766885,0.0,26879.269077,Biomass,2021
South East Wales,Torfaen ,21.0,0.0,3.063893,0.0,9393.897031,Biomass,2021
South East Wales,Monmouthshire ,189.0,0.0,21.859828,0.0,67022.231978,Biomass,2021
South East Wales,Newport ,41.0,0.0,11.406155,0.0,34971.270044,Biomass,2021
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Biomass,2021
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Biomass,2021
North Wales ,Isle of Anglesey ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
North Wales,Gwynedd ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
North Wales,Conwy ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
North Wales,Denbighshire ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
North Wales,Flintshire ,1.0,10.5,0.0,54817.943526,0.0,Energy from Waste,2021
North Wales,Wrexham ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
Mid & South West Wales,Powys ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
Mid & South West Wales,Ceredigion ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
Mid & South West Wales,Pembrokeshire ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
Mid & South West Wales,Carmarthenshire ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
Mid & South West Wales,Swansea ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
Mid & South West Wales,Neath Port Talbot ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
South East Wales ,Bridgend ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
South East Wales,Vale of Glamorgan ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
South East Wales,Cardiff ,1.0,15.0,0.0,78311.347895,0.0,Energy from Waste,2021
South East Wales,Rhondda Cynon Taf ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
South East Wales,Merthyr Tydfil ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
South East Wales,Blaenau Gwent ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
South East Wales,Monmouthshire ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
South East Wales,Newport ,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Energy from Waste,2021
North Wales ,Isle of Anglesey ,1.0,0.082,0.123,428.102035,678.8124,Biomass Electricity and Combined Heat and Power,2021
North Wales,Gwynedd ,1.0,0.1095,0.0,571.67284,0.0,Biomass Electricity and Combined Heat and Power,2021
North Wales,Conwy ,5.0,1.419,0.3075,7408.253511,1697.031,Biomass Electricity and Combined Heat and Power,2021
North Wales,Denbighshire ,5.0,1.485,0.387,7752.823442,2135.7756,Biomass Electricity and Combined Heat and Power,2021
North Wales,Flintshire ,1.0,25.0,90.0,130518.913158,496692.0,Biomass Electricity and Combined Heat and Power,2021
North Wales,Wrexham ,2.0,0.336,0.504,1754.174193,2781.4752,Biomass Electricity and Combined Heat and Power,2021
Mid & South West Wales,Powys ,10.0,0.913,1.879,4766.550709,10369.8252,Biomass Electricity and Combined Heat and Power,2021
Mid & South West Wales,Ceredigion ,4.0,3.298,17.447,17218.055024,96286.5036,Biomass Electricity and Combined Heat and Power,2021
Mid & South West Wales,Pembrokeshire ,2.0,0.092,0.138,480.3096,761.5944,Biomass Electricity and Combined Heat and Power,2021
Mid & South West Wales,Carmarthenshire ,0.0,0.0,0.0,0.0,0.0,Biomass Electricity and Combined Heat and Power,2021
Mid & South West Wales,Swansea ,1.0,0.6,0.0,3132.453916,0.0,Biomass Electricity and Combined Heat and Power,2021
Mid & South West Wales,Neath Port Talbot ,2.0,55.8,0.0,291318.214169,0.0,Biomass Electricity and Combined Heat and Power,2021
South East Wales ,Bridgend ,0.0,0.0,0.0,0.0,0.0,Biomass Electricity and Combined Heat and Power,2021
South East Wales,Vale of Glamorgan ,2.0,10.058,0.0,52510.369142,0.0,Biomass Electricity and Combined Heat and Power,2021
South East Wales,Cardiff ,1.0,0.05,0.0,261.037826,0.0,Biomass Electricity and Combined Heat and Power,2021
South East Wales,Rhondda Cynon Taf ,0.0,0.0,0.0,0.0,0.0,Biomass Electricity and Combined Heat and Power,2021
South East Wales,Merthyr Tydfil ,1.0,1.0,1.5,5220.756526,8278.2,Biomass Electricity and Combined Heat and Power,2021
South East Wales,Caerphilly ,2.0,0.17,0.0,887.528609,0.0,Biomass Electricity and Combined Heat and Power,2021
South East Wales,Blaenau Gwent ,1.0,3.573,0.0,18653.763069,0.0,Biomass Electricity and Combined Heat and Power,2021
South East Wales,Torfaen ,1.0,0.352,0.525,1837.706297,2897.37,Biomass Electricity and Combined Heat and Power,2021
South East Wales,Monmouthshire ,4.0,17.9545,7.13125,93736.073052,39355.9425,Biomass Electricity and Combined Heat and Power,2021
South East Wales,Newport ,2.0,9.035,0.0675,47169.535215,372.519,Biomass Electricity and Combined Heat and Power,2021
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Biomass Electricity and Combined Heat and Power,2021
Unknown (1),Unknown,2.0,0.076,0.045,396.777496,248.346,Biomass Electricity and Combined Heat and Power,2021
North Wales ,Isle of Anglesey ,732.0,0.0,8.125532,0.0,13284.264988,Heat Pump,2021
North Wales,Gwynedd ,797.0,0.0,8.73382,0.0,14278.742517,Heat Pump,2021
North Wales,Conwy ,313.0,0.0,4.00493,0.0,6547.577608,Heat Pump,2021
North Wales,Denbighshire ,629.0,0.0,6.93148,0.0,11332.133955,Heat Pump,2021
North Wales,Flintshire ,813.0,0.0,7.68218,0.0,12559.43793,Heat Pump,2021
North Wales,Wrexham ,301.0,0.0,3.77783,0.0,6176.296494,Heat Pump,2021
Mid & South West Wales,Powys ,1458.0,0.0,17.368526,0.0,28395.445595,Heat Pump,2021
Mid & South West Wales,Ceredigion ,1575.0,0.0,14.72526,0.0,24074.024428,Heat Pump,2021
Mid & South West Wales,Pembrokeshire ,867.0,0.0,9.62294,0.0,15732.3465,Heat Pump,2021
Mid & South West Wales,Carmarthenshire ,1158.0,0.0,13.03323,0.0,21307.759415,Heat Pump,2021
Mid & South West Wales,Swansea ,370.0,0.0,4.20041,0.0,6867.163836,Heat Pump,2021
Mid & South West Wales,Neath Port Talbot ,129.0,0.0,1.34835,0.0,2204.389657,Heat Pump,2021
South East Wales ,Bridgend ,188.0,0.0,1.73605,0.0,2838.232405,Heat Pump,2021
South East Wales,Vale of Glamorgan ,274.0,0.0,3.06553,0.0,5011.771888,Heat Pump,2021
South East Wales,Cardiff ,226.0,0.0,2.54915,0.0,4167.552856,Heat Pump,2021
South East Wales,Rhondda Cynon Taf ,330.0,0.0,3.24823,0.0,5310.464356,Heat Pump,2021
South East Wales,Merthyr Tydfil ,42.0,0.0,0.5381,0.0,879.728612,Heat Pump,2021
South East Wales,Caerphilly ,146.0,0.0,1.53346,0.0,2507.022185,Heat Pump,2021
South East Wales,Blaenau Gwent ,58.0,0.0,0.5175,0.0,846.050096,Heat Pump,2021
South East Wales,Torfaen ,61.0,0.0,0.68682,0.0,1122.867879,Heat Pump,2021
South East Wales,Monmouthshire ,624.0,0.0,7.20401,0.0,11777.687641,Heat Pump,2021
South East Wales,Newport ,80.0,0.0,1.07049,0.0,1750.122063,Heat Pump,2021
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Heat Pump,2021
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Heat Pump,2021
North Wales ,Isle of Anglesey ,0.0,0.0,0.0,0.0,0.0,Hydropower,2021
North Wales,Gwynedd ,150.0,59.64533,0.0,123116.117894,0.0,Hydropower,2021
North Wales,Conwy ,30.0,34.8739,0.0,67055.931835,0.0,Hydropower,2021
North Wales,Denbighshire ,21.0,2.50623,0.0,6548.922323,0.0,Hydropower,2021
North Wales,Flintshire ,0.0,0.0,0.0,0.0,0.0,Hydropower,2021
North Wales,Wrexham ,0.0,0.0,0.0,0.0,0.0,Hydropower,2021
Mid & South West Wales,Powys ,81.0,8.1686,0.0,18650.346385,0.0,Hydropower,2021
Mid & South West Wales,Ceredigion ,26.0,55.86933,0.0,104385.357192,0.0,Hydropower,2021
Mid & South West Wales,Pembrokeshire ,14.0,0.5482,0.0,1463.64417,0.0,Hydropower,2021
Mid & South West Wales,Carmarthenshire ,14.0,6.4973,0.0,12144.50011,0.0,Hydropower,2021
Mid & South West Wales,Swansea ,2.0,0.056,0.0,149.51491,0.0,Hydropower,2021
Mid & South West Wales,Neath Port Talbot ,10.0,0.5449,0.0,1454.83347,0.0,Hydropower,2021
South East Wales ,Bridgend ,3.0,0.0294,0.0,78.495328,0.0,Hydropower,2021
South East Wales,Vale of Glamorgan ,0.0,0.0,0.0,0.0,0.0,Hydropower,2021
South East Wales,Cardiff ,1.0,0.36,0.0,961.167277,0.0,Hydropower,2021
South East Wales,Rhondda Cynon Taf ,4.0,0.1804,0.0,481.651602,0.0,Hydropower,2021
South East Wales,Merthyr Tydfil ,4.0,0.2364,0.0,631.166512,0.0,Hydropower,2021
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Hydropower,2021
South East Wales,Blaenau Gwent ,1.0,0.0145,0.0,38.713682,0.0,Hydropower,2021
South East Wales,Torfaen ,1.0,0.029,0.0,77.427364,0.0,Hydropower,2021
South East Wales,Monmouthshire ,11.0,0.2359,0.0,629.831557,0.0,Hydropower,2021
South East Wales,Newport ,0.0,0.0,0.0,0.0,0.0,Hydropower,2021
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Hydropower,2021
Unknown (1),Unknown,3.0,0.057,0.0,152.184819,0.0,Hydropower,2021
North Wales ,Isle of Anglesey ,1.0,0.34,0.0,944.666185,0.0,Landfill Gas,2021
North Wales,Gwynedd ,1.0,0.05,0.0,138.921498,0.0,Landfill Gas,2021
North Wales,Conwy ,1.0,1.003,0.0,2786.765247,0.0,Landfill Gas,2021
North Wales,Denbighshire ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2021
North Wales,Flintshire ,2.0,0.35,0.0,972.450485,0.0,Landfill Gas,2021
North Wales,Wrexham ,3.0,3.23,0.0,8974.328762,0.0,Landfill Gas,2021
Mid & South West Wales,Powys ,1.0,2.0,0.0,5556.859915,0.0,Landfill Gas,2021
Mid & South West Wales,Ceredigion ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2021
Mid & South West Wales,Pembrokeshire ,1.0,1.5,0.0,4167.644936,0.0,Landfill Gas,2021
Mid & South West Wales,Carmarthenshire ,1.0,1.003,0.0,2786.765247,0.0,Landfill Gas,2021
Mid & South West Wales,Swansea ,1.0,0.822,0.0,2283.869425,0.0,Landfill Gas,2021
Mid & South West Wales,Neath Port Talbot ,2.0,1.365,0.0,3792.556892,0.0,Landfill Gas,2021
South East Wales ,Bridgend ,1.0,0.33,0.0,916.881886,0.0,Landfill Gas,2021
South East Wales,Vale of Glamorgan ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2021
South East Wales,Cardiff ,2.0,2.342,0.0,6507.08296,0.0,Landfill Gas,2021
South East Wales,Rhondda Cynon Taf ,2.0,1.056,0.0,2934.022035,0.0,Landfill Gas,2021
South East Wales,Merthyr Tydfil ,2.0,6.329,0.0,17584.6832,0.0,Landfill Gas,2021
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2021
South East Wales,Blaenau Gwent ,1.0,1.006,0.0,2795.100537,0.0,Landfill Gas,2021
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2021
South East Wales,Monmouthshire ,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2021
South East Wales,Newport ,1.0,1.006,0.0,2795.100537,0.0,Landfill Gas,2021
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2021
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Landfill Gas,2021
North Wales ,Isle of Anglesey ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
North Wales,Gwynedd ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
North Wales,Conwy ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
North Wales,Denbighshire ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
North Wales,Flintshire ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
North Wales,Wrexham ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
Mid & South West Wales,Powys ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
Mid & South West Wales,Ceredigion ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
Mid & South West Wales,Pembrokeshire ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
Mid & South West Wales,Carmarthenshire ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
Mid & South West Wales,Swansea ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
Mid & South West Wales,Neath Port Talbot ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
South East Wales ,Bridgend ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
South East Wales,Vale of Glamorgan ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
South East Wales,Cardiff ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
South East Wales,Rhondda Cynon Taf ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
South East Wales,Merthyr Tydfil ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
South East Wales,Blaenau Gwent ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
South East Wales,Monmouthshire ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
South East Wales,Newport ,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Nuclear,2021
North Wales ,Isle of Anglesey ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
North Wales,Gwynedd ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
North Wales,Conwy ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
North Wales,Denbighshire ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
North Wales,Flintshire ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
North Wales,Wrexham ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
Mid & South West Wales,Powys ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
Mid & South West Wales,Ceredigion ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
Mid & South West Wales,Pembrokeshire ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
Mid & South West Wales,Carmarthenshire ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
Mid & South West Wales,Swansea ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
Mid & South West Wales,Neath Port Talbot ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
South East Wales ,Bridgend ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
South East Wales,Vale of Glamorgan ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
South East Wales,Cardiff ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
South East Wales,Rhondda Cynon Taf ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
South East Wales,Merthyr Tydfil ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
South East Wales,Blaenau Gwent ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
South East Wales,Monmouthshire ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
South East Wales,Newport ,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
Offshore ,Offshore,3.0,726.0,0.0,2225916.0,0.0,Offshore Wind,2021
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Offshore Wind,2021
North Wales ,Isle of Anglesey ,49.0,39.56607,0.0,95436.186132,0.0,Onshore Wind,2021
North Wales,Gwynedd ,36.0,6.8527,0.0,16529.20173,0.0,Onshore Wind,2021
North Wales,Conwy ,39.5,39.8554,0.0,96134.070753,0.0,Onshore Wind,2021
North Wales,Denbighshire ,38.5,146.683,0.0,353809.870186,0.0,Onshore Wind,2021
North Wales,Flintshire ,17.0,1.9277,0.0,4649.750051,0.0,Onshore Wind,2021
North Wales,Wrexham ,1.0,0.02,0.0,48.241428,0.0,Onshore Wind,2021
Mid & South West Wales,Powys ,118.0,199.4231,0.0,481022.757396,0.0,Onshore Wind,2021
Mid & South West Wales,Ceredigion ,78.0,84.8238,0.0,204601.062609,0.0,Onshore Wind,2021
Mid & South West Wales,Pembrokeshire ,150.0,26.0434,0.0,62818.54048,0.0,Onshore Wind,2021
Mid & South West Wales,Carmarthenshire ,113.0,145.07607,0.0,349933.84028,0.0,Onshore Wind,2021
Mid & South West Wales,Swansea ,5.0,34.225,0.0,82553.143903,0.0,Onshore Wind,2021
Mid & South West Wales,Neath Port Talbot ,11.5,230.05524,0.0,554909.665987,0.0,Onshore Wind,2021
South East Wales ,Bridgend ,14.0,58.704,0.0,141598.239874,0.0,Onshore Wind,2021
South East Wales,Vale of Glamorgan ,6.0,1.1,0.0,2653.278548,0.0,Onshore Wind,2021
South East Wales,Cardiff ,3.0,0.106,0.0,255.679569,0.0,Onshore Wind,2021
South East Wales,Rhondda Cynon Taf ,13.5,204.46076,0.0,493178.083736,0.0,Onshore Wind,2021
South East Wales,Merthyr Tydfil ,5.0,2.4036,0.0,5797.654834,0.0,Onshore Wind,2021
South East Wales,Caerphilly ,21.0,17.155,0.0,41379.084986,0.0,Onshore Wind,2021
South East Wales,Blaenau Gwent ,9.0,7.317,0.0,17650.613378,0.0,Onshore Wind,2021
South East Wales,Torfaen ,3.0,0.0095,0.0,22.914678,0.0,Onshore Wind,2021
South East Wales,Monmouthshire ,11.0,3.7706,0.0,9100.73881,0.0,Onshore Wind,2021
South East Wales,Newport ,11.0,16.13,0.0,38906.711794,0.0,Onshore Wind,2021
Offshore ,Offshore,0.0,0.0,0.0,0.0,0.0,Onshore Wind,2021
Unknown (1),Unknown,0.0,0.0,0.0,0.0,0.0,Onshore Wind,2021
North Wales ,Isle of Anglesey ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
North Wales,Gwynedd ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
North Wales,Conwy ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
North Wales,Denbighshire ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
North Wales,Flintshire ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
North Wales,Wrexham ,1.0,1.17,1.16,4287.447062,7113.12,Sewage Gas,2021
Mid & South West Wales,Powys ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
Mid & South West Wales,Ceredigion ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
Mid & South West Wales,Pembrokeshire ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
Mid & South West Wales,Carmarthenshire ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
Mid & South West Wales,Swansea ,1.0,0.56,0.8,2052.111414,4905.6,Sewage Gas,2021
Mid & South West Wales,Neath Port Talbot ,1.0,2.962,3.31,10854.203589,20296.92,Sewage Gas,2021
South East Wales ,Bridgend ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
South East Wales,Vale of Glamorgan ,1.0,3.12,3.3,11433.192166,20235.6,Sewage Gas,2021
South East Wales,Cardiff ,1.0,4.035,4.965,14786.195638,30445.38,Sewage Gas,2021
South East Wales,Rhondda Cynon Taf ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
South East Wales,Merthyr Tydfil ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
South East Wales,Caerphilly ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
South East Wales,Blaenau Gwent ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
South East Wales,Torfaen ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
South East Wales,Monmouthshire ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
South East Wales,Newport ,0.0,0.0,0.0,0.0,0.0,Sewage Gas,2021
